Num_Acc;catr;voie;v1;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
536537288;4;;;2;2;0;1;-1;-1;1;-1;1;0;3;50
536537289;3;2;;2;2;1;1;26;0;3;6;1;0;1;50
536537291;3;933;;2;2;0;1;58;0;1;;1;0;3;80
536537292;1;RN 14 (PROLONGEMENT A15);0;2;0;0;2;24;684;1;0;1;5;1;50
536537292;1;VIOSNE (BOULEVARD DE LA);0;2;0;0;2;33;470;1;0;1;5;1;50
536537293;3;275;0;2;2;0;1;11;770;3;4;1;0;1;90
536537294;3;716;;2;2;0;1;1;800;2;5;1;0;3;80
536537295;3;2144;0;2;2;0;1;28;750;1;7;1;0;1;90
536537296;3;619;;2;2;0;4;82;250;1;7;1;0;1;70
536537297;3;290;0;2;2;0;2;17;25;3;;1;0;3;90
536537298;3;974;2;3;2;0;1;4;740;3;;1;0;1;80
536537299;3;;;2;1;0;1;14;400;1;4;1;0;1;80
536537300;3;;2;2;2;0;1;16;560;1;7;1;0;3;80
536537301;3;14;0;2;2;0;2;16;660;3;5;2;0;1;80
536537302;3;923;0;2;2;0;1;14;175;1;7;1;0;1;90
536537302;3;;0;2;2;0;1;0;0;1;7;1;0;1;80
536537304;3;906;;2;3;0;1;81;400;1;;1;0;3;80
536537305;3;;;1;1;0;2;-1;-1;3;-1;1;3;1;50
536537305;3;;;3;2;0;1;-1;-1;1;-1;1;0;1;50
536537306;4;;;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537307;3;146;;2;2;0;1;23;710;2;4;1;0;3;50
536537308;3;836;0;2;2;0;1;0;2;1;5;2;0;1;50
536537308;3;;;2;2;0;1;6;138;1;-1;2;0;1;50
536537309;4;;;2;2;0;1;-1;-1;1;-1;1;0;1;80
536537309;4;;;2;2;;1;-1;-1;1;-1;1;0;1;80
536537310;3;105;;2;2;0;1;7;700;2;5;1;0;1;80
536537311;7;TVPCD-Sens Les Ports vers Saint Victor;0;1;1;0;2;0;209;2;-1;1;1;1;70
